language,chapter_num,unit_letter,unit_title,chapter_folder,filename,json_file,word_count,section_count,estimated_read_time,faa_sources
es,1,A,Pilot Training,01-regulations,unit-a-pilot-training.md,01-regulations_unit-a-pilot-training.json,18836,14,42,PHAK - Chapter 01 - Introduction To Flying.pdf
es,1,B,Aviation Opportunities,01-regulations,unit-b-aviation-opportunities.md,01-regulations_unit-b-aviation-opportunities.json,16881,13,47,PHAK - Chapter 01 - Introduction To Flying.pdf
es,2,A,Airplanes,02-airplane-systems,unit-a-airplanes.md,02-airplane-systems_unit-a-airplanes.json,16623,13,42,PHAK - Chapter 03 - Aircraft Construction.pdf
es,2,B,The Powerplant and Related Systems,02-airplane-systems,unit-b-the-powerplant-and-related-systems.md,02-airplane-systems_unit-b-the-powerplant-and-related-systems.json,22000,14,60,PHAK - Chapter 07 - Aircraft Systems.pdf
es,2,C,Flight Instruments,02-airplane-systems,unit-c-flight-instruments.md,02-airplane-systems_unit-c-flight-instruments.json,15988,13,47,PHAK - Chapter 08 - Flight Instruments.pdf|PHAK - Chapter 06 - Flight Controls.pdf
es,3,A,Four Forces of Flight,03-aerodynamics,unit-a-four-forces-of-flight.md,03-aerodynamics_unit-a-four-forces-of-flight.json,16779,14,42,PHAK - Chapter 04 - Principles of Flight.pdf
es,3,B,Stability,03-aerodynamics,unit-b-stability.md,03-aerodynamics_unit-b-stability.json,19085,14,47,PHAK - Chapter 05 - Aerodynamics of Flight.pdf
es,3,C,Aerodynamics of Maneuvering Flight,03-aerodynamics,unit-c-aerodynamics-of-maneuvering-flight.md,03-aerodynamics_unit-c-aerodynamics-of-maneuvering-flight.json,17119,13,42,PHAK - Chapter 05 - Aerodynamics of Flight.pdf
es,4,A,Safety of Flight,04-flight-environment,unit-a-safety-of-flight.md,04-flight-environment_unit-a-safety-of-flight.json,20665,14,47,PHAK - Chapter 02 - Aeronautical Decision-Making.pdf
es,4,B,Airports,04-flight-environment,unit-b-airports.md,04-flight-environment_unit-b-airports.json,18018,13,47,PHAK - Chapter 14 - Airport Operations.pdf
es,4,C,Aeronautical Charts,04-flight-environment,unit-c-aeronautical-charts.md,04-flight-environment_unit-c-aeronautical-charts.json,16671,14,42,PHAK - Chapter 16 - Navigation.pdf
